pais,dealer_id,dealer,ciudad,provincia,direccion,vehiculos,rating,reviews,url
Ecuador,1387,GMQ Motors,Quito,Pichincha,"Av. La Prensa N42-32 Av. 10 de Agosto ""Sector la Y"" al lado de la gasolinera MASGAS.",14,5,1,https://ecuador.patiotuerca.com/dealers-profile/gmq-motors/1387
Ecuador,1613,GMQ Motors la Prensa,Quito,Pichincha,AV LA PRENSA Y HECTOR MOLINA,46,5,1,https://ecuador.patiotuerca.com/dealers-profile/gmq-motors-la-prensa/1613
Ecuador,755,GR Motors,Quito,Pichincha,AV. EL INCA OE1-145 Y AV. LA PRENSA,18,,,https://ecuador.patiotuerca.com/dealers-profile/gr-motors/755
Ecuador,1284,"Grupo Automotriz (Grupo Comercial Erazo, Euromotors, Brokautos)",Quito,Pichincha,AV MARISCAL SUCRE E50-133 Y MANUEL VALDIVIEZO,29,,,https://ecuador.patiotuerca.com/dealers-profile/grupo-automotriz-grupo-comercial-erazo-euromotors-brokautos/1284
Ecuador,1386,Grupo HAM Autos,Cumbayá,,Ruta Viva y Pje. Pérez KM8,45,,,https://ecuador.patiotuerca.com/dealers-profile/grupo-ham-autos/1386
Ecuador,1198,Grupo Mavesa Seminuevos Guayaquil,Guayaquil,Guayas,Av. Juan Tanca Marengo km 3.5,33,,,https://ecuador.patiotuerca.com/dealers-profile/grupo-mavesa-seminuevos-guayaquil/1198
Ecuador,1536,Grupo Serauto,Quito,Pichincha,HELEODORO AYALA S14-256 Y JOSE MARIA URBINA,23,,,https://ecuador.patiotuerca.com/dealers-profile/grupo-serauto/1536
Ecuador,1612,Grupo Serauto Sucursal,Cuenca,Azuay,AV ESPAÑA Y SEGOVIA,10,,,https://ecuador.patiotuerca.com/dealers-profile/grupo-serauto-sucursal/1612
Ecuador,1622,Happy Wheels,Quito,Pichincha,ELOY ALFARO N75B EN HOGAR PARA SUS NIÑOS,13,,,https://ecuador.patiotuerca.com/dealers-profile/happy-wheels/1622
Ecuador,1549,Hiper Autos UIO,Quito,Pichincha,AMAZONAS Y RIO CURARAY,50,,,https://ecuador.patiotuerca.com/dealers-profile/hiper-autos-uio/1549
Ecuador,272,HLG Vehículos,Cuenca,Azuay,FRANCISCO PIZARRO 1-16 Y AV. ESPAÑA (FRENTE AL AEREOPUERTO).,37,,,https://ecuador.patiotuerca.com/dealers-profile/hlg-vehiculos/272
Ecuador,1541,HLG Vehículos Sucursal,Cuenca,Azuay,ESPAÑA 10 - 85 Y FRANCISCO PIZARRO,45,,,https://ecuador.patiotuerca.com/dealers-profile/hlg-vehiculos-sucursal/1541
Ecuador,1123,Hugo Vera,Quito,Pichincha,PICHINCHA / QUITO / AV AMAZONAS N26-106 Y LA PINTA,7,,,https://ecuador.patiotuerca.com/dealers-profile/hugo-vera/1123
Ecuador,693,HVMotors,Guayaquil,Guayas,"Av. Juan Tanca Marengo, km1/2 ( Frente a la gasolinera Mobil)",16,,,https://ecuador.patiotuerca.com/dealers-profile/hvmotors/693
Ecuador,1318,ICT Autos,Quito,Pichincha,IÑAQUITO AVENIDA 10 DE AGOSTO E1-22 Y THOMAS MORO,16,,,https://ecuador.patiotuerca.com/dealers-profile/ict-autos/1318
Ecuador,548,Ilalo Autos,Quito - Sangolqui,,Av. Gral. Enriquez 1214 frente al Militar San Jorge. Sangolquí,58,,,https://ecuador.patiotuerca.com/dealers-profile/ilalo-autos/548
Ecuador,635,Importadora Sudamericana,Cuenca,Azuay,"Av. Carlos Arizaga Vega y Francisco Cisneros, esquina, Sector Feria Libre.",20,,,https://ecuador.patiotuerca.com/dealers-profile/importadora-sudamericana/635
Ecuador,1621,Inmotruck,Quito,Pichincha,GENERAL RUMIÑAHUI SN Y ATAHUALPA,12,,,https://ecuador.patiotuerca.com/dealers-profile/inmotruck/1621
